log10(P0),t_inf,P_max
7.0,1.5239449082478747,1148575012.9279523
7.0,1.5381675520581892,1000016575.1060324
7.0,1.534720588120199,1035045283.7191709
7.0,1.496641033299803,1373497105.1919308
7.0,1.52732666272186,1012693976.947349
7.0,1.5648244633330444,821942778.5385034
7.0,1.506160092003315,1160456923.311579
7.0,1.614064641342584,645886512.6457056
7.0,1.4967089672503562,1276318110.3930829
7.0,1.510109742426679,1134866472.4917185
7.0,1.5659121355232655,733886053.1094624
7.0,1.5689732621954278,748599163.6240841
7.0,1.5379002273686115,1092451351.6953557
7.0,1.5379562072237636,889283936.1179868
7.0,1.5130631291369954,1192719933.8919518
7.0,1.5045473093153028,1130330824.45406
7.0,1.5080260497486144,1053376995.9251904
7.0,1.4786055640671139,1324309984.78836
7.0,1.5080241368765062,1023834148.2221112
7.0,1.5253101866122396,1047249780.7542883
7.0,1.508685428821976,1087612006.9993033
7.0,1.5276035715616505,1027820015.1389843
7.0,1.507631723198134,1135974661.6323848
7.0,1.4972634648179117,1233565602.604827
7.0,1.5246735244516516,1098281471.8861625
7.0,1.5077976807414641,993379034.4726676
7.0,1.5389862295475867,1179275614.6782274
7.0,1.5379046123678848,916571511.8970191
7.0,1.5275834189049828,999459943.3464049
7.0,1.45270383429898,1516088337.6208892
7.0,1.5950517936237116,667229136.8945951
7.0,1.5732903679165606,881931119.5800654
7.0,1.5087094247199906,1053809919.4935224
7.0,1.5086884365807267,1023138141.7308424
7.0,1.5269273187099082,990906735.2041923
7.0,1.497572405878137,1401861272.2874491
7.0,1.5076105161526836,1258180370.360731
7.0,1.5649531920702298,839427121.3726856
7.0,1.5548227732635604,802270460.2207236
7.0,1.5276578949177244,1043343958.8538579
7.0,1.5576306864744247,852483148.0170698
7.0,1.5981655318855854,632199152.7245731
7.0,1.4787768056304362,1305371093.0117161
7.0,1.5090477561939082,1330424608.5075796
7.0,1.5246670605950747,964450438.1817148
7.0,1.5679893305511226,694357002.8304514
7.0,1.4973986597698712,1068876020.721314
7.0,1.527132621202643,954776454.5672066
7.0,1.497350069791754,1184837569.049581
7.0,1.5272967595543063,1069974827.8082682
7.0,1.5430945743485551,811977273.8720312
7.0,1.4944346071846375,1188627249.6409245
7.0,1.5431441777998358,1169976255.3750913
7.0,1.5132354122705642,1110244351.0132248
7.0,1.5080931246408766,1145586151.2559915
7.0,1.4786644126755875,1194656379.6015825
7.0,1.5274167692710403,962714818.0887321
7.0,1.444223778167528,1668186905.8692746
7.0,1.4744272216354928,1374726140.170085
